extrudr,Biofusion,Metallic Grey,225,60
extrudr,PETG,Black,230,80
JAYO,PLA+,Black,205,60
JAYO,PLA+ Silk,Red Copper,210,60
JAYO,PLA+ Silk,Light Gold,210,60
JAYO,PETG,Black,230,80
JAYO,PETG,Orange,230,80
ERYONE,PLA Matte,Navy Blue,215,60
OVERTURE,PETG,Rock White,235,80
SOLUTECH,PLA,See Through Yellow,210,60
SOLUTECH,PLA,See Through Red,210,60
OVERTURE,PLA,Yellow,210,60
OVERTURE,PLA,Space Grey,210,60
PRUSA,PETG,Anthracite Grey,230,80
